Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Morocco,32.15384727,32.48839106,33.02361181,33.5704323,34.12935503,34.50253434,34.83066006,35.15795717,35.48432466,35.80967302,36.13419969,36.45766568,36.78012361,37.10148724,37.42180347,37.74099097,38.05909803,38.37603783,38.69180171,39.00630913,39.31960908,,
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Madagascar,3.458752196,3.831344237,4.204318436,4.555934443,4.904165104,5.267388146,5.627827693,5.985452403,6.340402513,6.692416517,7.041632577,7.388017703,7.731595239,8.072330014,8.410305357,8.745424596,9.07777163,9.407308361,9.734057566,10.05791673,10.37903328,,
Middle East & North Africa,,,,,,,,,,28.78227459,29.84602245,30.8266245,31.74107539,32.6194156,33.49957206,34.41299032,35.3037404,36.21014073,37.09667823,37.97845084,38.76771056,,
Mexico,17.82838677,17.96506537,18.09879201,19.98947425,21.91572399,23.87717464,25.87350566,27.90436423,29.96951033,32.0685671,34.20129298,36.3676703,38.56730401,40.80011597,43.06591674,45.36435171,47.69541008,50.0587208,52.45421467,54.88172246,57.34110284,,
North Macedonia,12.88307655,12.89709303,12.91110925,12.92512645,12.93921011,12.90839277,12.87573946,12.84107992,12.80424268,12.76497902,12.72318656,12.67861077,12.63115036,12.58054455,12.52660764,12.46933043,12.40835639,12.34358909,12.19801327,12.18440354,12.19672276,,
Mali,6.130797483,6.76331851,7.407277962,8.061788929,8.725933293,9.398892124,10.07965255,10.7673983,11.46107647,12.15677504,12.85689472,13.56074692,14.26768035,14.97708308,15.68827712,16.40083107,17.11413871,17.82759777,18.53257096,19.22903769,19.9246421,,
Malta,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,91.86797469,,
Myanmar,58.38123919,58.92317706,59.24143779,59.55521924,59.86449477,60.16921715,60.46931151,60.76480509,61.0556676,61.0463221,61.03403892,61.01879819,61.00058701,60.97943074,60.95525265,60.92729913,60.89505922,60.85804939,60.81572409,60.76766634,60.71341702,,
Middle East & North Africa (excluding high income),39.35427365,39.47478668,39.64116429,39.78776874,40.19435108,40.5723361,41.00058922,41.43370705,41.80783004,42.18205349,42.56328653,42.99267166,43.38908711,43.76450253,44.20559823,44.70641253,45.2811948,45.83051938,46.34867994,46.82402607,47.16290952,,
Montenegro,,,,,,,28.13976648,29.59750039,31.04026797,32.46812393,33.88081713,35.27822121,36.66026671,38.02689641,39.37808478,40.71380573,42.03397976,43.33861243,44.62475289,45.62698827,45.43822064,,
Mongolia,33.2706866,33.71932288,34.15819176,34.58723675,35.57606567,36.56402465,37.55119239,38.53683494,39.52051048,40.50110307,41.47895886,42.88071215,44.26673656,45.67278651,47.09869731,48.54463438,50.01042959,51.49591845,53.00287453,54.52952347,55.53872038,,
Malawi,19.1828975,19.43719936,19.68720016,19.93721318,20.18715599,20.43709735,20.68696236,20.9368153,21.1865826,21.43700182,21.68798232,21.93948986,22.19137194,22.44363817,22.69608387,22.94875758,23.20140918,23.45407277,23.70663177,23.95893214,24.2109328,,
Malaysia,65.64841979,65.8615045,66.07066571,66.27599783,66.47755311,66.67528614,66.86934744,67.05976743,67.60357221,68.14477223,69.0410832,69.94101839,70.84699981,71.75945971,72.67845877,73.44444153,74.2848702,75.86281624,77.45314542,,,,
North America,74.80104425,74.95917796,75.11048675,75.29875902,75.48678761,75.65337574,75.81997427,75.98753007,76.15424715,76.32016688,76.78037277,77.24196023,77.70117055,78.16145526,78.62216378,79.03105091,79.43920091,79.84782268,80.25533826,80.66327707,81.05425373,,
Niger,5.824545888,6.548758476,7.256499253,7.964407219,8.666901887,9.256826745,9.814903939,10.3579956,10.8858509,11.39895417,11.897061,12.37990497,12.84800105,13.30108842,13.74334085,14.1756123,14.59767048,15.01045325,15.41375964,15.80861376,16.18740843,,
Nigeria,21.30113183,21.30050319,21.66167444,22.04663711,22.44264433,22.85006965,23.26927858,23.70064584,24.14455283,24.60127561,25.07123103,25.55433685,26.05075831,26.56055695,27.08385391,27.62076539,28.17119796,28.73534958,29.31313945,29.90451468,30.50948612,,
Netherlands,97.441003,97.44117906,97.44142874,97.44167504,97.44519855,97.44871785,97.45222194,97.45570268,97.45917384,97.46266315,97.4661496,97.469611,97.47306851,97.47650192,97.47990711,97.48330602,97.48670933,97.49010655,97.49352997,97.49694295,97.49706115,,
